courseCode,cohortSize
CMSE11524,3
CMSE11525,5
CMSE11527,18
CMSE11528,14
CMSE11530,NA
CMSE11531,25
CMSE11532,36
CMSE11533,27
CMSE11534,95
CMSE11536,19
CMSE11537,57
CMSE11538,34
CMSE11539,34
CMSE11540,34
CMSE11542,NA
CMSE11543,28
CMSE11545,59
CMSE11546,40
CMSE11547,34
CMSE11548,41
CMSE11549,34
CMSE11552,54
CMSE11553,37
CMSE11554,30
CMSE11555,75
CMSE11556,34
CMSE11557,29
CMSE11558,30
CMSE11559,28
CMSE11560,37
CMSE11561,48
CMSE11562,44
CMSE11563,19
CMSE11565,22
CMSE11566,58
CMSE11568,34
CMSE11569,4
CMSE11571,44
CMSE11573,43
CMSE11574,28
CMSE11575,41
CMSE11576,49
CMSE11577,37
CMSE11578,16
CMSE11579,13
CMSE11580,53
CMSE11581,45
CMSE11582,23
CMSE11583,42
CMSE11585,58
CMSE11589,41
CMSE11590,38
CMSE11591,31
CMSE11592,1
CMSE11593,NA
CMSE11595,NA
CMSE11596,NA
CMSE11597,29
CMSE11598,1
CMSE11600,29
CMSE11601,NA
CMSE11602,NA
CMSE11605,30
CMSE11607,NA
CMSE11608,NA
CMSE11611,24
CMSE11612,24
CMSE11613,NA
CMSE11614,26
CMSE11615,20
CMSE11616,26
CMSE11617,30
CMSE11618,7
CMSE11619,57
CMSE11620,1
CMSE11620,NA
CMSE11621,42
CMSE11622,30
CMSE11623,52
CMSE11624,30
CMSE11625,6
CMSE11626,25
CMSE11627,7
CMSE11628,47
CMSE11629,61
CMSE11630,62
CMSE11631,61
CMSE11632,61
CMSE11633,44
CMSE11634,61
CNST08001,98
CNST08002,50
CNST11012,108
CNST11014,89
CNST11034,44
CNST11040,59
CNST11041,63
CNST11042,63
CNST11043,58
CNST11053,31
CNST11061,33
CNST11062,60
CNST11068,64
CNST11079,29
CNST11080,NA
CNST11081,33
CNST11084,103
CNST11085,108
CNST11087,21
CNST11088,4
CNST11089,NA
CNST11093,NA
CNST11094,15
CNST12007,112
CNST12010,12
CNST12012,60
CNST12013,53
CNST12014,11
CNST12015,11
CNST12019,60
CNST12022,62
CNST12024,63
COPH12001,13
COPH12002,13
COPH12003,13
COPH12004,13
COPH12005,13
COPH12006,13
COPH12007,9
COPH12008,9
COPH12009,9
CRCA11001,45
CRCA11002,42
CRCA11003,48
CRCA11004,41
CRCA11005,41
CRCA11006,41
CRCA11010,23
CRCA11011,12
CRCA11012,14
CRCA11012,NA
CRCA11014,26
CRCA11015,28
CRCA11017,4
CRCA11018,2
CRCA11019,12
CRCA11020,9
CRCA11021,2
CRCA11022,3
CRCA11023,20
DEBI10021,15
DEBI10026,15
DEBI10031,15
DEBI10032,28
DEBI10034,15
DEBI10035,16
DENT08003,10
DENT08004,10
DENT08005,9
DENT08006,10
DENT08007,9
DENT08008,10
DENT09001,9
DENT09002,9
DENT09005,9
DENT09006,9
DENT09008,10
DENT09010,10
DENT09011,10
DENT09012,10
DENT09013,9
DENT09014,10
DENT09015,10
DENT09016,9
DENT10002,8
DENT10003,7
DENT10004,7
DENT11178,6
DENT12053,6
DENT12069,7
DENT12072,7
DENT12073,7
DENT12074,7
DESI08010,234
DESI08010,113
DESI08061,49
DESI08062,51
DESI08063,50
DESI08064,20
DESI08065,22
DESI08066,19
DESI08069,18
DESI08070,18
DESI08071,8
DESI08072,9
DESI08074,25
DESI08075,21
DESI08076,21
DESI08077,15
DESI08078,17
DESI08079,20
DESI08080,24
DESI08081,24
DESI08082,19
DESI08083,20
DESI08084,23
DESI08087,98
DESI08088,85
DESI08091,13
DESI08092,15
DESI08093,16
DESI08094,13
DESI08095,55
DESI08097,157
DESI08099,35
DESI08100,25
DESI08101,31
DESI08102,31
DESI08103,26
DESI08104,22
DESI08109,25
DESI08110,26
DESI08111,17
DESI08113,21
DESI08119,16
DESI08121,17
DESI08122,16
DESI08125,96
DESI08126,34
DESI08127,35
DESI08132,17
DESI08140,100
DESI08141,159
DESI08143,29
DESI08144,28
DESI08145,14
DESI08146,12
DESI08147,17
DESI08149,17
DESI08150,16
DESI08151,64
DESI08152,17
DESI08153,34
DESI08155,21
DESI09075,8
DESI09097,6
DESI09099,11
DESI10015,NA
DESI10017,1
DESI10018,3
DESI10025,6
DESI10031,6
DESI10045,6
DESI10052,163
DESI10053,6
DESI10055,21
DESI10056,22
DESI10057,22
DESI10058,22
