courseName,courseCode,cohortSize
Evidence Based Veterinary Medicine in Clinical Practice B,AWAB11052,26
International Cat and Dog Welfare,AWAB11053,12
Welfare of Animals Used for Scientific Purposes,AWAB11054,9
Biology of Animal Welfare,AWAB11055,18
Biochemical Techniques,BICH10006,22
Structural Biology,BICH10007,30
Membrane Biology,BICH10009,11
Biochemistry Tutorials and Synoptic Exam,BICH10014,21
Biochemistry Research Project,BICH10018,21
Project Proposal and Literature Review for MSc Drug Discovery and Translational Biology,BICH11005,7
Introduction to web site and database design for drug discovery,BICH11007,12
Python Programming for the Life Sciences,BICH11008,22
Practical Skills in Biochemistry A,BICH11009,21
Protein Production for Therapeutic Discovery (Biochemistry),BICH11010,NA
Origin and Diversity of Life 1,BILG08001,1
Genes and Gene Action 2,BILG08003,29
Evolution in Action 2,BILG08005,NA
The Dynamic Cell 2,BILG08009,3
Animal Biology 2,BILG08011,154
Molecules, Genes and Cells 1,BILG08015,230
The Green Planet 2,BILG08016,63
The Microbial World 2,BILG08018,168
Biology 1A: Variation,BILG08020,335
Biology 1B: Life,BILG08021,243
Biology 1C: Discovery,BILG08022,238
Biology 1D: Environment,BILG08023,306
Biology 2A: Data Exploration in Biology,BILG08024,208
Biology 2B: Genetics and Evolution,BILG08025,363
Biology 2C: Systems and Regulation,BILG08026,312
Molecular Cell Biology 3,BILG09001,126
Molecular Genetics 3,BILG09002,181
Evolutionary and Ecological Genetics 3,BILG09004,74
Genomes and Genomics 3,BILG09005,150
Behavioural Ecology 3,BILG09006,87
Immunology 3,BILG09007,193
Population and Community Ecology 3,BILG09009,100
Developmental Biology 3,BILG09010,100
Evolution and Ecology of Plants 3,BILG09011,53
Molecular Microbiology 3,BILG09013,96
Biotechnology 3,BILG09014,89
Structures and Functions of Proteins 3,BILG09015,111
Field Zoology 3,BILG09017,65
Animal Diversity and Evolution 3,BILG09019,79
Molecular and Synthetic Plant Biology 3,BILG09021,29
Next Generation Genomics,BILG11004,26
PhD Project Proposal for MSc by Research in Hosts, Pathogens and Global,BILG11009,5
Research Project in Molecular Phylogeny and Epidemiology,BILG11010,NA
Research Project in Molecular Biology and Immunology,BILG11011,NA
Research Project in Evolutionary Biology and Ecology,BILG11012,NA
Research Project in Epidemiology, Evolutionary Biology and Ecology,BILG11013,5
Research Project in Molecular Biology and Immunology,BILG11014,5
Medical Biology 1,BIME08004,280
Our Changing World,BIME08006,63
Biomedical Sciences 2,BIME08007,202
Biomedical Sciences 2: Fundamental Principles,BIME08010,2
Cells to Organisms 2,BIME08011,245
Microorganisms, Infection and Immunity 2,BIME08012,357
Biomedical Sciences 1,BIME08013,174
Chemical Pharmacology 2,BIME08014,58
Medical Microbiology 3,BIME09002,91
Pharmacology 3,BIME09003,107
Physiology 3,BIME09004,82
Mechanisms of Brain Development 3,BIME09005,119
Reproductive Biology 3,BIME09006,122
Biomedical Sciences 3,BIME09008,193
Biomedical Sciences 3: Obtaining, Analysing and Evaluating Data (VS1),BIME09009,NA
Applied Pharmacology 3,BIME09011,85
Neuroscience 3,BIME09012,115
Anatomy and Development 3,BIME09013,85
Infectious Diseases 3,BIME09014,NA
Research Strategies in Biomedical Laboratory Sciences,BIME09015,NA
Biomedical Sciences Project,BIME10002,58
Neurotransmitters In Action,BIME10008,13
Neural circuits for learning and memory,BIME10011,24
Science Communication,BIME10015,11
Hormones & Behaviour,BIME10020,17
Global Health and Infectious Diseases,BIME10021,37
Genetic and Environmental Influences on Behaviour and Mental Health,BIME10022,19
Forensic Investigation,BIME10023,41
Endocrine Physiology and Pharmacology,BIME10024,13
Diagnostics and therapeutics for infectious disease,BIME10025,29
Developmental and Clinical Neuroscience,BIME10026,24
Development and Disease,BIME10027,24
Conception to Parturition,BIME10028,34
Cardiovascular Pharmacology & Therapeutics,BIME10029,16
Cancer Biology and Medicine,BIME10030,25
Neurodegeneration, obesity and cancer: genetics and beyond,BIME10032,21
Antibiotic Crisis,BIME10035,27
Inflammation and Tissue Repair,BIME10036,23
Reproductive Cancers,BIME10037,25
Biomedical Sciences Core,BIME10038,58
Critical Analysis Skills in Biomedical Sciences,BIME10039,58
Biomedical Sciences Synoptic Examination,BIME10040,58
Anatomy and Development Synoptic Exam,BIME10041,18
Anatomy and Development Project,BIME10042,18
Anatomy and Development Grant Proposal,BIME10043,18
Anatomy and Development Core,BIME10044,18
Anatomy of the limbs,BIME10045,16
Applied Human Osteology,BIME10046,13
Anatomy of the head and neck,BIME10048,20
Biomedicine, Ethics and Society: Contemporary Issues,BIME10049,15
Research Skills in Health Sciences,BIME10052,39
Literature Evaluation and Review,BIME10053,39
Health Sciences Project,BIME10054,39
Scientific Frontiers of Medicine,BIME10055,11
Academic Medicine,BIME10056,11
Surgical Science,BIME10057,20
Academic Surgery,BIME10058,15
Primary Care,BIME10059,16
Primary Care - Clinical Correlation,BIME10060,13
Emergency Medicine,BIME10062,20
Medical Anthropology,BIME10063,21
Biomedical Laboratory Sciences Core,BIME10064,2
Biomedical Laboratory Sciences Reflective Portfolio,BIME10065,2
Biomedical Laboratory Sciences Project Preview Dissertation,BIME10066,2
Biomedical Laboratory Sciences Project,BIME10067,5
Bioethics, Law and Social Science: Foundations of Knowledge,BIME10068,14
Bioethics, Law and Society: Research project,BIME10069,14
Neurobiology of Cognition in Health and Disease,BIME10070,24
Human Genetics and Molecular Medicine,BIME10073,10
Gametes and Gonads,BIME10074,26
Reproductive Toxicology,BIME10075,24
Data Science for Health and Biomedical Sciences,BIME10076,30
Neuroanatomy,BIME11004,26
Land Use and Food Security,BIME11011,8
Invasive Non-Native Species,BIME11012,14
Written Reflective Element for the MSc in Biodiversity, Wildlife and Ecosystem Health,BIME11016,25
The Use of Artificial Reproductive Technologies in Threatened Species,BIME11018,8
The Modern Zoo,BIME11019,7
The Marine Environment,BIME11020,15
The Marine Environment,BIME11020,8
Conservation Genetics,BIME11025,7
Climate Change: Policy and Practice,BIME11027,9
Global Citizenship,BIME11031,NA
Ecosystem Health and Sustainability,BIME11032,40
Evolution and Biodiversity,BIME11033,43
Understanding Infectious Diseases,BIME11036,11
Written reflective element for Global Health and Infectious Diseases,BIME11039,20
MSc Human Anatomy Dissertation,BIME11042,16
Dialogue for Science Communication and Public Engagement,BIME11046,26
Science Communication/Public Engagement Placement,BIME11047,26
Science, Policy and Practice,BIME11051,28
Creative Arts in Science Engagement,BIME11054,2
The Role of Social Media in Science Communication and Public Engagement,BIME11056,26
MSc Dissertation (Dissertation only mode),BIME11063,10
Research Project Proposal,BIME11065,41
Science Communication and Public Engagement Placement 2,BIME11075,26
The Role of Social Media in Science Communication,BIME11076,4
Introduction to Science Communication and Public Engagement,BIME11080,4
Science and the Media,BIME11083,9
Science, Policy and Practice,BIME11084,9
Dialogue for Science Communication and Public Engagement,BIME11085,9
Principles and Practice in Public Engagement with Science,BIME11087,4
Creative Arts in Science Engagement,BIME11089,9
Principles and Practice in Science Communication and Public Engagement,BIME11090,26
Museum Exhibitions, Interpretation and Informal Learning,BIME11097,9
Fundamentals of Human Anatomy 1,BIME11103,14
Fundamentals of Human Anatomy 2,BIME11104,7
Embryology,BIME11105,7
Neuroanatomy,BIME11106,8
Introduction to Immunology,BIME11107,11
Advanced Human Anatomy 1,BIME11108,3
Advanced Human Anatomy 2,BIME11109,2
Imaging,BIME11110,2
Histology,BIME11111,1
Science and Biology of Bacteria,BIME11113,10
Science and Biology of Viruses,BIME11114,12
Science and Biology of Fungi, Parasites and Prions,BIME11115,14
Laboratory Practice in Microbiology, Virology and Serology,BIME11116,10
Anti-Infective Therapy and Resistance,BIME11117,10
Molecular Diagnostics of Infection,BIME11119,15
Community Acquired Infections and Public Health,BIME11120,24
Infection Prevention and Control,BIME11121,22
HIV Infected and other Immune-Compromised Patients,BIME11122,5
Clinical Syndromes and Infection,BIME11123,14
Written reflective element for Clinical Microbiology and Infectious Diseases,BIME11125,17
Science, Society and the Media,BIME11127,28
Science Communication/Public Engagement Dissertation,BIME11128,26
Principles and Practice in Public Engagement with Science (II),BIME11129,9
Conservation Psychology,BIME11130,19
Anatomy Law and Ethics,BIME11133,26
Science Communication and Public Engagement Dissertation,BIME11135,9
Ecosystem Resilience and Extreme Events,BIME11137,18
Connecting Environment and Society,BIME11141,14
'Digital Making' and 'Information Visualisation' for science communication and public engagement,BIME11142,NA
Science in Context,BIME11144,4
Conservation and Conflict,BIME11145,14
Understanding Science,BIME11146,4
Wildlife Trade,BIME11148,16
Basic Human Anatomy, Imaging and Embryology 1,BIME11149,26
Basic Human Anatomy, Imaging and Embryology 2,BIME11150,26
Teaching Anatomy,BIME11151,16
Visualising Human Anatomy,BIME11152,2
Surgery, Radiology and Histology 2,BIME11153,10
Surgery, Radiology and Histology 1,BIME11154,10
MSc Clinical Anatomy dissertation,BIME11155,10
Artificial Organs,BIME11156,NA
Environmental Ethics and Governance,BIME11157,26
Species Translocations,BIME11158,5
