Name of Department,Module ID,Name of Module,Name of Type,Activity ID,Name,Day,Start Time,End Time,Whole-Class/Subgroup,Size,Real Size,Duration,Weeks,Number of weeks,Room,Building,Campus
Edinburgh College of Art,,,*Lecture,#SPLUSE9B5A1 003,Creative Coding for Sound - Lecture <18-19>,Thu,14:00,16:00,,60,39,4,Sem1 wk10-Sem1 wk11,2,TL_Godfrey Thomson Hall,Thomsons Land,*Holyrood
Edinburgh College of Art,,,*Lecture,#SPLUSE9B5A1 001,"Creative Coding for Sound - Lecture <10, 12-17>",Thu,14:00,16:00,,60,39,4,"Sem1 wk2, Sem1 wk4-Sem1 wk9",7,HB_Lecture Theatre O.17A,Hunter Building,*Lauriston
School of Chemistry,,,*Lecture,#SPLUSE9B560,Biological Chemistry 2 & MBC PGT - Lecture,Fri,9:00,10:00,,180,176,2,"Sem1 wk1-Sem1 wk2, Sem1 wk9-Sem1 wk10",4,JBB_Theatre 250,Joseph Black Building,*King's Buildings
Centre for Open Learning,LLLO07003_SV1_SEM1,British Sign Language Stage 1,*Activity,#SPLUSEA9AF8,LfA UG - British Sign Language Stage 1/02,Tue,14:00,16:00,,16,16,4,Sem1 wk1-Sem1 wk11,11,PL_LG47 - COL,Patersons Land,*Holyrood
Centre for Open Learning,LLLO07003_SV1_SEM1,British Sign Language Stage 1,*Activity,#SPLUSEA9AF8,LfA UG - British Sign Language Stage 1/02,Thu,14:00,16:00,,16,16,4,Sem1 wk1-Sem1 wk11,11,PL_LG47 - COL,Patersons Land,*Holyrood
Centre for Open Learning,PHIL07002_SS1_LLL1,Introducing Philosophy (Credit Plus),*Activity,#SPLUSEA9AEE,IFP - Introducing Philosophy (Credit Plus)/C,Wed,11:00,12:30,,18,17,3,Sem1 wk1-Sem1 wk11,11,PL_LG49 - COL,Patersons Land,*Holyrood
Centre for Open Learning,PHIL07002_SS1_LLL1,Introducing Philosophy (Credit Plus),*Activity,#SPLUSEA9AEC,IFP - Introducing Philosophy (Credit Plus)/C,Thu,15:00,16:30,,18,17,3,Sem1 wk1-Sem1 wk11,11,PL_LG49 - COL,Patersons Land,*Holyrood
Centre for Open Learning,PHIL07002_SS1_LLL1,Introducing Philosophy (Credit Plus),*Activity,#SPLUSEA9AEA,IFP - Introducing Philosophy (Credit Plus)/C,Tue,13:00,14:30,,18,17,3,Sem1 wk1-Sem1 wk11,11,PL_LG49 - COL,Patersons Land,*Holyrood
School of Law,LAWS08118_SV1_SEM1,Revenue Law,*Tutorial,#SPLUSEBDDAE,Revenue Law LAWS08118 - (Graduate Group) Tutorial/09,Tue,16:00,17:00,,12,12,2,"Sem1 wk3, Sem1 wk5, Sem1 wk7, Sem1 wk9, Sem1 wk11",5,MST_Teaching Room 01 (G.204) - Doorway 3,"Medical School, Teviot",*Central
School of Informatics,INFR11244_SS1_SEM1,Computer Security (Level 11),*Tutorial,#SPLUSB234D2,Computer Security (Level 11) - Tutorial/02,Fri,15:00,16:00,,16,15,2,Sem1 wk4-Sem1 wk10,7,AT_7.02,Appleton Tower,*George Square/Buccleuch
School of Informatics,INFR11244_SS1_SEM1,Computer Security (Level 11),*Tutorial,#SPLUSB234D0,Computer Security (Level 11) - Tutorial/01,Thu,10:00,11:00,,16,15,2,Sem1 wk4-Sem1 wk10,7,AT_7.02,Appleton Tower,*George Square/Buccleuch
School of Social and Political Science,PGSP11275_SV1_SEM1,The Middle East in International Relations,*Seminar,#SPLUSB51F47 003,"The Middle East in International Relations - Seminar/02 <13-14, 18>",Tue,11:00,13:00,,15,12,4,"Sem1 wk5-Sem1 wk6, Sem1 wk10",3,MST_Teaching Room 05 (G.200) - Doorway 3,"Medical School, Teviot",*Central
School of Social and Political Science,PGSP11275_SV1_SEM1,The Middle East in International Relations,*Seminar,#SPLUSB51F47 001,"The Middle East in International Relations - Seminar/02 <09-11, 15-17, 19>",Tue,11:00,13:00,,15,12,4,"Sem1 wk1-Sem1 wk3, Sem1 wk7-Sem1 wk9, Sem1 wk11",7,FH_1.B04,Forresthill,*Central
School of Social and Political Science,PGSP11275_SV1_SEM1,The Middle East in International Relations,*Seminar,#SPLUSB51F47 002,The Middle East in International Relations - Seminar/02 <12>,Tue,11:00,13:00,,15,12,4,Sem1 wk4,1,NC_McIntyre Room,New College,*New College
Edinburgh Futures Institute,EFIE11016_SS1_SEM1,Creative Markets,*Workshop,#SPLUSB51F2A,Creative Markets - Accountancy Workshop,Tue,10:00,12:00,WC,25,19,4,Sem1 wk1,1,LLTC_5.1,Lister Learning and Teaching Centre,*Central
Moray House School of Education and Sport,SPRT10003_SV1_SEM1,Research and Statistics in Sport Science 3,Computer Workshop,#SPLUSB4BDD9,Research and Statistics in Sport Science 3 - Computer practical,Fri,14:00,15:00,WC,37,70,2,Sem1 wk9,1,MH_1.20 - Open Access/Teaching Computer Lab,Murchison House,*King's Buildings
School of Law,LAWS08134_SV1_SEM1,Business Entities,*Tutorial,#SPLUSAA6F9C,Business Entities Ord LAWS08134 - Tutorial/24,Fri,17:00,18:00,,12,10,2,"Sem1 wk5, Sem1 wk7, Sem1 wk9, Sem1 wk11",4,OC_Teaching Room 10,Old College,*Central
Edinburgh Medical School,MBCH09021_SS1_YR,Whole Body Health 2,*Lecture,#SPLUSD37CAA,WBH2 - Intro to Learn Ultra/02,Mon,10:30,11:00,,100,93,1,Sem1 wk1,1,CB - Auditorium B (GU216),Chancellors Building,*Bioquarter
Edinburgh Medical School,MBCH09021_SS1_YR,Whole Body Health 2,*Lecture,#SPLUSD37CA8,WBH2 - Intro to Learn Ultra/01,Mon,10:30,11:00,,200,190,1,Sem1 wk1,1,"CB - Auditorium A, Shirley Hall (GU108)",Chancellors Building,*Bioquarter
Deanery of Biomedical Sciences,BIME10045_SS1_SEM1,Anatomy of the limbs,*Practical,#SPLUSD37BAB,Anatomy of the Limbs - Practical,Thu,15:00,17:00,WC,12,16,4,Sem1 wk1-Sem1 wk11,11,MST_Room 265 Anatomy Teaching Lab - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME10045_SS1_SEM1,Anatomy of the limbs,*Practical,#SPLUSD37AF6,Anatomy of the Limbs - Practical,Fri,15:00,17:00,WC,12,16,4,Sem1 wk1-Sem1 wk10,10,MST_Room 265 Anatomy Teaching Lab - Doorway 3,"Medical School, Teviot",*Central
Edinburgh Medical School,MBCH09021_SS1_YR,Whole Body Health 2,*Workshop,#SPLUSD37937,WBH2 - C&C: Neurology Lecture & Workshop/02,Fri,13:00,17:00,,150,93,8,Sem1 wk1,1,CB - Auditorium B (GU216),Chancellors Building,*Bioquarter
Edinburgh Medical School,MBCH09021_SS1_YR,Whole Body Health 2,*Workshop,#SPLUSD375C6,WBH2 - C&C: Neurology Lecture & Workshop/02,Fri,9:00,13:00,,150,93,8,Sem1 wk1,1,CB - Auditorium B (GU216),Chancellors Building,*Bioquarter
Edinburgh Medical School,MBCH09021_SS1_YR,Whole Body Health 2,*Lecture,#SPLUSD3617D,WBH2 - Introduction to Command & Control/02,Mon,11:30,12:30,,150,93,2,Sem1 wk1,1,CB - Auditorium B (GU216),Chancellors Building,*Bioquarter
Edinburgh Medical School,MBCH09021_SS1_YR,Whole Body Health 2,*Lecture,#SPLUSD353A7,WBH2 - Intro to KCP (Dr H. Young)/02,Mon,11:00,11:30,,94,93,1,Sem1 wk1,1,CB - Auditorium B (GU216),Chancellors Building,*Bioquarter
Deanery of Biomedical Sciences,BIME11149_SS1_SEM1,"Basic Human Anatomy, Imaging and Embryology 1",*Seminar,#SPLUSD33E4C,"Basic Human Anatomy, Imaging & Embryology 1 - MSc Principles L1 Terminology and UL Osteology & Imaging",Mon,10:00,12:00,WC,40,27,4,Sem1 wk1,1,LLTC_1.2,Lister Learning and Teaching Centre,*Central
School of Informatics,,,*Lecture - Online Live,#SPLUSC73CCA 008,Computer Security - Lecture <19>,Mon,10:00,11:00,,200,286,2,Sem1 wk11,1,0,0,0
School of Informatics,,,*Lecture - Online Live,#SPLUSC73CCA 007,Computer Security - Lecture <18>,Mon,10:00,11:00,,300,286,2,Sem1 wk10,1,0,0,0
School of Informatics,,,*Lecture - Online Live,#SPLUSC73CCA 006,Computer Security - Lecture <17>,Mon,10:00,11:00,,300,286,2,Sem1 wk9,1,0,0,0
School of Informatics,,,*Lecture - Online Live,#SPLUSC73CCA 005,Computer Security - Lecture <15>,Mon,10:00,11:00,,300,286,2,Sem1 wk7,1,0,0,0
School of Informatics,,,*Lecture - Online Live,#SPLUSC73CCA 004,Computer Security - Lecture <14>,Mon,10:00,11:00,,300,286,2,Sem1 wk6,1,0,0,0
School of Informatics,,,*Lecture - Online Live,#SPLUSC73CCA 003,Computer Security - Lecture <11-13>,Mon,10:00,11:00,,337,286,2,Sem1 wk3-Sem1 wk5,3,0,0,0
School of Informatics,,,*Lecture - Online Live,#SPLUSC73CCA 001,Computer Security - Lecture <10>,Mon,10:00,11:00,,300,286,2,Sem1 wk2,1,0,0,0
School of Informatics,,,*Lecture - Online Live,#SPLUSC73CCA 002,Computer Security - Lecture <16>,Mon,10:00,11:00,,300,286,2,Sem1 wk8,1,0,0,0
School of Informatics,,,*Lecture - Online Live,#SPLUSC7356A 006,"Computer Security - Lecture <14, 17>",Fri,10:00,11:00,,300,286,2,"Sem1 wk6, Sem1 wk9",2,0,0,0
School of Informatics,,,*Lecture - Online Live,#SPLUSC7356A 005,"Computer Security - Lecture <16, 18-19>",Fri,10:00,11:00,,300,286,2,"Sem1 wk8, Sem1 wk10-Sem1 wk11",3,0,0,0
School of Informatics,,,*Lecture,#SPLUSC7356A 004,Computer Security - Lecture <11-12>,Fri,10:00,11:00,,303,286,2,Sem1 wk3-Sem1 wk4,2,40GS_Lecture Theatre A,40 George Square Lecture Theatres,*George Square/Buccleuch
