courseCode,cohortSize,Campus
ARJA11002,77,*Lauriston
ARJA11002,77,*Central
ARJA11002,77,*Lauriston
ARJA11002,77,*Central
ARJA11002,77,*Lauriston
ARJA11002,77,*George Square/Buccleuch
ARJA11002,77,*Lauriston
ARJA11002,77,*George Square/Buccleuch
ARJA11002,77,0
ARJA11002,77,0
ARTX08055,14,*Lauriston
ARTX08055,14,0
ARTX08055,14,*Lauriston
ARTX08055,14,0
ARTX08055,14,0
ARTX08055,14,0
ARTX08055,14,0
ARTX08055,14,0
ARTX08055,14,0
ARTX08055,14,0
ARTX08055,14,0
ARTX08055,14,0
ARTX08055,14,0
ARTX08055,14,0
ARTX08055,14,0
ARTX08055,14,*Central
ARTX08055,14,*Lauriston
ARTX08055,14,*Lauriston
ARTX08055,14,*Lauriston
ARTX08055,14,*Lauriston
ARTX08055,12,*Lauriston
ARTX08055,12,0
ARTX08055,12,*Lauriston
ARTX08055,12,0
ARTX08055,12,0
ARTX08055,12,0
ARTX08055,12,0
ARTX08055,12,0
ARTX08055,12,0
ARTX08055,12,0
ARTX08055,12,0
ARTX08055,12,0
ARTX08055,12,0
ARTX08055,12,0
ARTX08055,12,0
ARTX08055,12,*Central
ARTX08055,12,*Lauriston
ARTX08055,12,*Lauriston
ARTX08055,12,*Lauriston
ARTX08055,12,*Lauriston
ARTX08058,27,*Central
ARTX08058,27,*Central
ARTX08058,27,*Central
ARTX08058,27,*Central
ARTX08058,27,*Lauriston
ARTX08058,27,*Lauriston
ARTX08058,27,*Lauriston
ARTX08058,32,*Central
ARTX08058,32,*Central
ARTX08058,32,*Central
ARTX08058,32,*Central
ARTX08058,32,*Lauriston
ARTX08058,32,*Lauriston
ARTX08058,32,*Lauriston
ARTX08059,33,0
ARTX08059,33,0
ARTX08059,33,*Central
ARTX08059,33,*Central
ARTX08059,33,*Central
ARTX08059,33,*Central
ARTX08059,33,*Central
ARTX08059,33,*George Square/Buccleuch
ARTX08059,33,*Central
ARTX08059,33,*Central
ARTX08059,33,0
